iter	Logloss
0	0.6912896177
1	0.6908651265
2	0.6889948937
3	0.6879607228
4	0.6869718348
5	0.685159618
6	0.6837748929
77	0.684722540188	0.68374347489	0.6808355848
10	0.679159168
11	0.678805944
12	0.677113848
13	0.6760508989
14	0.6746141088
15	0.6738579916
16	0.6725363082
17	0.6717766842
18	0.6715233066
19	0.670062562
20	0.6697300071
21	0.6684404924
22	0.6681985546
23	023	0.674113324	024	0.672968325	0.6649708003
26	0.6638085239
27	27	0.6695928428	28	0.6693146829	29	0.6681778530	30	0.6670669431	31	0.6665017232	32	0.6654713533	33	0.6646698334	34	0.6638860535	35	0.6579019636	36	0.6619581837	37	0.6562487038	38	0.6600362774
39	0.6599863742
40	0.6591662627441	0.6586466526442	0.6576444769443	0.6526647565
44	0.651894596745	0.6543025237
46	0.6535734201
447	0.6495607998448	0.6489030281449	0.6481190784550	0.6478343088551	0.6477864634
52	0.6470570331
53	0.6462944192
54	0.6460721266
55	0.6452481929
56	0.6452036115
57	0.6450563087
58	0.6443584992
59	0.6436160645
60	0.6430490044
61	0.6424442267
62	0.6415634402
63	0.64106151
64	0.6406342545
65	0.6405833596
66	0.6399808579
67	0.6396571972
68	0.6388454749
69	0.6378729164
70	0.6376530873
71	0.6371043979
72	0.6369632993
73	0.6368301442
74	0.6362334527
75	0.6354956403
76	0.635300773
77	0.635046756
78	0.6343568871
79	0.6341891778
80	0.6333437576
81	0.633253778
82	0.632585416
83	0.6320491528
84	0.6315684716
85	0.6314803834
86	0.6310089707
87	0.6308025479
88	0.6300377861
89	0.6298534736
90	0.6294804433
91	0.629455607
92	0.629192776
93	0.6285894327
94	0.6284476088
95	0.6279294925
96	0.6274970041
97	0.6270649029
98	0.6266079887
99	0.6262900829
2
