iter	Passed	Remaining
0	0	53
1	0	45
2	1	51
3	2	50
4	2	47
5	4	65
6	4	61
7	7	85
8	7	79
9	6	61
10	7	60
11	7	57
12	8	55
13	8	53
14	9	52
15	9	50
16	9	48
17	10	47
18	10	45
19	11	46
20	12	45
21	12	45
22	13	44
23	1323	124	1424	125	15	44
26	15	43
27	1627	228	1628	229	1729	230	1730	231	1831	232	1832	233	1933	234	19	37
3535	26	43636	36	23737	28	43838338	28	39	39	29	40440	29	41441	29	42442	30	43	32	41
44	33	40
4545	30	34646	30	347	35	38
48	35	37
49	36	36
50	36	35
51	38	35
52	40	36
53	41	35
54	42	34
55	47	37
56	47	35
57	47	34
58	48	33
59	48	32
60	49	31
61	51	31
62	52	30
63	53	29
64	53	28
65	53	27
66	55	27
67	55	26
68	62	27
69	62	26
70	63	25
71	67	26
72	68	25
73	69	24
74	69	23
75	70	22
76	71	21
77	71	20
78	72	19
79	72	18
80	73	17
81	73	16
82	74	15
83	74	14
84	75	13
85	75	12
86	76	11
87	76	10
88	77	9
89	77	8
90	78	7
91	78	6
92	79	5
93	79	5
94	80	4
95	80	3
96	81	2
97	81	1
98	82	0
99	83	0
